ID Year,Year,Violent Crime,Food Insecurity,County,ID Geography,Slug Geography
2019,2019,586.9299316,0.155000001,"Lassen County, CA",05000US06035,lassen-county-ca
2019,2019,488.3460999,0.114,"Los Angeles County, CA",05000US06037,los-angeles-county-ca
2019,2019,620.2355347,0.114,"Madera County, CA",05000US06039,madera-county-ca
2019,2019,177.857254,0.104999997,"Marin County, CA",05000US06041,marin-county-ca
2019,2019,431.4285583,0.156000003,"Mariposa County, CA",05000US06043,mariposa-county-ca
2019,2019,640.4857788,0.144999996,"Mendocino County, CA",05000US06045,mendocino-county-ca
2019,2019,555.3386841,0.131999999,"Merced County, CA",05000US06047,merced-county-ca
2019,2019,504.7955627,0.150000006,"Modoc County, CA",05000US06049,modoc-county-ca
2019,2019,262.0620422,0.108000003,"Mono County, CA",05000US06051,mono-county-ca
2019,2019,420.6361389,0.094999999,"Monterey County, CA",05000US06053,monterey-county-ca
2019,2019,397.681366,0.086000003,"Napa County, CA",05000US06055,napa-county-ca
2019,2019,264.1900635,0.130999997,"Nevada County, CA",05000US06057,nevada-county-ca
2019,2019,213.5828094,0.096000001,"Orange County, CA",05000US06059,orange-county-ca
2019,2019,161.9986725,0.112999998,"Placer County, CA",05000US06061,placer-county-ca
2019,2019,574.8222656,0.160999998,"Plumas County, CA",05000US06063,plumas-county-ca
2019,2019,291.2445679,0.097999997,"Riverside County, CA",05000US06065,riverside-county-ca
2019,2019,508.2410889,0.156000003,"Sacramento County, CA",05000US06067,sacramento-county-ca
2019,2019,298.703064,0.059,"San Benito County, CA",05000US06069,san-benito-county-ca
2019,2019,441.8844299,0.104000002,"San Bernardino County, CA",05000US06071,san-bernardino-county-ca
2019,2019,327.7188416,0.116999999,"San Diego County, CA",05000US06073,san-diego-county-ca
2019,2019,760.4639893,0.147,"San Francisco County, CA",05000US06075,san-francisco-county-ca
2019,2019,787.3218384,0.133000001,"San Joaquin County, CA",05000US06077,san-joaquin-county-ca
2019,2019,408.2250671,0.125,"San Luis Obispo County, CA",05000US06079,san-luis-obispo-county-ca
2019,2019,209.1124573,0.090999998,"San Mateo County, CA",05000US06081,san-mateo-county-ca
2019,2019,318.0505371,0.100000001,"Santa Barbara County, CA",05000US06083,santa-barbara-county-ca
2019,2019,264.0883484,0.098999999,"Santa Clara County, CA",05000US06085,santa-clara-county-ca
2019,2019,409.5258789,0.119999997,"Santa Cruz County, CA",05000US06087,santa-cruz-county-ca
2019,2019,726.1367188,0.167999998,"Shasta County, CA",05000US06089,shasta-county-ca
2019,2019,422.2259827,0.136000007,"Sierra County, CA",05000US06091,sierra-county-ca
2019,2019,343.5554504,0.184,"Siskiyou County, CA",05000US06093,siskiyou-county-ca
2019,2019,476.3002625,0.136999995,"Solano County, CA",05000US06095,solano-county-ca
